904,1.0
906,1.0
916,1.0
918,1.0
920,0.0
926,1.0
936,1.0
938,0.0
940,1.0
942,1.0
945,1.0
949,0.0
951,1.0
956,1.0
960,1.0
961,1.0
965,1.0
966,1.0
967,1.0
969,1.0
973,0.0
984,1.0
988,1.0
992,1.0
1001,1.0
1004,1.0
1006,1.0
1009,1.0
1010,1.0
1014,1.0
1023,0.0
1034,0.0
1042,1.0
1048,1.0
1050,0.0
1058,0.0
1069,0.0
1070,1.0
1071,1.0
1073,1.0
1074,1.0
1076,1.0
1088,1.0
1094,0.0
1100,1.0
1107,0.0
1110,1.0
1114,1.0
1126,1.0
1128,0.0
1131,1.0
1134,0.0
1137,1.0
1144,1.0
1162,0.0
1164,1.0
1179,1.0
1185,0.0
1197,1.0
1198,1.0
1200,0.0
1206,1.0
1208,0.0
1213,0.0
1214,1.0
1218,1.0
1223,1.0
1227,1.0
1235,1.0
1242,1.0
1247,0.0
1248,1.0
1256,1.0
1263,1.0
1264,0.0
1266,1.0
1270,0.0
1282,1.0
1283,1.0
1287,1.0
1289,1.0
1292,1.0
1296,1.0
1297,1.0
1299,0.0
1303,1.0
1306,1.0
